px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.01	0.01	0	0	0	0	0	0	0	0	0	0
0.454487	-0.440822	1.72579e-05	0	0	0	0	0	0	0	0	1.14138
1.52205	-0.125457	0.324083	-3.0554e-06	-1.11445e-06	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.63598	0.0160266	1.40758	-0.00913281	0.00460356	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	15.8415
3.76126	-0.121499	2.1381	-0.295915	-0.0330306	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
3.85761	0.0807022	2.28898	0.214959	0.214185	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	5.02895
6.64681	0.353466	3.05689	-0.510817	-0.570397	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
6.61147	0.388142	2.98985	-0.484481	-0.595874	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0.743432
9.16291	0.469322	2.07299	-0.0867783	0.0405398	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
9.16571	0.525897	2.23363	-0.0723553	0.0438829	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	4.82043
11.5244	1.62965	2.36652	0.960743	0.826128	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
11.5463	1.50232	2.48972	0.663547	0.313985	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	3.81843
13.599	2.36091	2.22024	0.331974	-0.195284	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
13.6407	2.34519	2.35491	0.287755	-0.2563	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.77016
16.4454	2.86678	3.05582	0.167832	-0.106784	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
16.3991	2.85824	2.94022	0.172374	-0.096031	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.586153
18.9958	3.69518	2.98666	0.392056	0.145933	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
19.0336	3.72737	2.88517	0.462735	0.267894	19.363	3.87122	18.923	3.74161	2.61382	0.95648	2.41247
21.3437	4.7491	2.79383	0.464594	0.0681752	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
21.3989	4.75481	2.86289	0.432127	0.0240014	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.73203
24.0374	5.56067	2.98703	0.185246	-0.194622	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
24.1371	5.59163	3.1037	0.168138	-0.210048	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.36679
26.6376	6.94628	2.9671	0.622697	0.294459	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
26.6327	6.92514	3.0433	0.562506	0.179646	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.443503
29.5256	8.06836	3.22537	0.196555	-0.294213	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
29.5156	8.06231	3.16249	0.187254	-0.314901	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.194215
31.9953	9.8561	2.95106	0.813876	0.40522	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
31.9569	9.81385	2.9941	0.73005	0.257007	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	1.19445
34.6197	10.7503	2.72655	0.150818	-0.418492	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
34.7101	10.7967	2.90398	0.144327	-0.396755	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.76031
37.1759	12.0581	2.74741	0.615066	0.277422	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
37.2585	12.0575	2.95409	0.560493	0.149233	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	2.27821
40.2172	13.4119	3.38606	0.232448	-0.28975	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
40.1625	13.3831	3.22461	0.216335	-0.334381	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.21506
42.7994	14.8128	3.09047	0.572839	0.193295	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0
42.7822	14.7977	3.13426	0.536367	0.127723	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.415359
45.3166	16.5285	3.3095	0.628324	0.0801965	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0
45.3577	16.544	3.3194	0.627755	0.094335	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.945691
48.1846	17.3263	3.04992	0.124459	-0.366399	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0
48.1534	17.3081	2.97091	0.113843	-0.398685	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.425926
50.665	19.0311	2.71063	0.912247	0.532268	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	0
50.6555	18.9631	2.8782	0.751829	0.231063	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	1.93586
53.6699	19.9048	2.88959	-0.120482	-0.715826	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	0
53.6386	19.9149	2.92847	-0.0613314	-0.612782	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.374651
56.162	20.9915	2.23799	0.484622	0.235143	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0
56.1504	20.9377	2.42391	0.40398	0.10315	55.867	20.985	55.9669	20.9874	2.56561	0.978022	2.3238
58.5732	21.751	2.75496	0.260517	-0.117286	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0
58.5945	21.764	2.81563	0.272255	-0.0963061	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.176114
60.8859	22.783	2.76964	0.459812	0.117799	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0
60.861	22.7724	2.74421	0.455134	0.113072	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.250796
63.3614	23.4098	2.79048	0.136798	-0.222992	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0
63.4289	23.4204	2.77986	0.0830572	-0.307105	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.39964
66.2775	23.9808	2.99417	0.322419	0.15429	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0
66.1683	23.9587	2.67735	0.306291	0.1427	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.94982
68.3211	24.3891	2.45291	0.220668	-0.0240213	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0
68.3882	24.4145	2.53979	0.221672	-0.0194696	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.56114
70.784	24.8741	2.69755	0.185742	-0.0256694	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0
